embedding,encoder,tagset,link,metric,set,precision,recall,f1
chinese-bert,identity,bioj,bd,mbawo,validation,0.6363636363636364,0.45187165775401067,0.5284788921152557
chinese-bert,identity,bioj,bd,mbawo,optimization,0.6756607929515418,0.4783625730994152,0.5601460853686373
chinese-bert,identity,bioj,bd,mbawo,test,0.5267523849025301,0.48659003831417624,0.5058753236407091
chinese-bert,identity,bioj,bd,mwo,training,0.8088739803308683,0.5982183130356338,0.687777525686319
chinese-bert,identity,bioj,bd,mwo,validation,0.699838622915546,0.4969442322383499,0.5811927630109448
chinese-bert,identity,bioj,bd,mwo,optimization,0.736784140969163,0.5216374269005848,0.6108194476146998
chinese-bert,identity,bioj,bd,mwo,test,0.5752799668187474,0.5314176245210728,0.5524795857398924
chinese-bert,identity,bioj,td,epm,training,0.2600732600732601,0.39371534195933455,0.31323529411764706
chinese-bert,identity,bioj,td,epm,validation,0.18253968253968253,0.26436781609195403,0.21596244131455397
chinese-bert,identity,bioj,td,epm,optimization,0.09219858156028368,0.16883116883116883,0.11926605504587157
chinese-bert,identity,bioj,td,epm,test,0.1568627450980392,0.2962962962962963,0.20512820512820515
chinese-bert,identity,bioj,td,mpbm,training,0.5230352303523035,0.5223274695534507,0.5226811103588355
chinese-bert,identity,bioj,td,mpbm,validation,0.40487804878048783,0.3516949152542373,0.3764172335600907
chinese-bert,identity,bioj,td,mpbm,optimization,0.3291139240506329,0.3561643835616438,0.3421052631578947
chinese-bert,identity,bioj,td,mpbm,test,0.3568627450980392,0.41363636363636364,0.3831578947368421
chinese-bert,identity,bioj,td,mbawo,training,0.6348403607116744,0.5874492557510149,0.610226074733513
chinese-bert,identity,bioj,td,mbawo,validation,0.5641255605381166,0.4805194805194805,0.518976897689769
chinese-bert,identity,bioj,td,mbawo,optimization,0.499033629686896,0.5033138401559454,0.5011645962732919
chinese-bert,identity,bioj,td,mbawo,test,0.48132780082987553,0.5333333333333333,0.5059978189749182
chinese-bert,identity,bioj,td,mwo,training,0.7275773824031196,0.6732634190347316,0.6993674592948342
chinese-bert,identity,bioj,td,mwo,validation,0.6488789237668161,0.5527119938884645,0.596947194719472
chinese-bert,identity,bioj,td,mwo,optimization,0.6072671047545419,0.6124756335282651,0.609860248447205
chinese-bert,identity,bioj,td,mwo,test,0.5584370677731674,0.6187739463601533,0.5870592511813887
chinese-bert,identity,biom,bd,epm,training,0.4029574861367837,0.4029574861367837,0.4029574861367837
chinese-bert,identity,biom,bd,epm,validation,0.3614457831325301,0.3448275862068966,0.3529411764705882
chinese-bert,identity,biom,bd,epm,optimization,0.29069767441860467,0.3246753246753247,0.3067484662576687
chinese-bert,identity,biom,bd,epm,test,0.3008849557522124,0.41975308641975306,0.3505154639175258
chinese-bert,identity,biom,bd,mpbm,training,0.5985778926955397,0.6265223274695535,0.6122314049586778
chinese-bert,identity,biom,bd,mpbm,validation,0.5188284518828452,0.5254237288135594,0.5221052631578947
chinese-bert,identity,biom,bd,mpbm,optimization,0.4624505928853755,0.5342465753424658,0.4957627118644068
chinese-bert,identity,biom,bd,mpbm,test,0.4019607843137255,0.5590909090909091,0.467680608365019
chinese-bert,identity,biom,bd,mbawo,training,0.6970817013295084,0.7124492557510149,0.7046817053788026
chinese-bert,identity,biom,bd,mbawo,validation,0.6622013034033309,0.6986249045072574,0.6799256505576209
chinese-bert,identity,biom,bd,mbawo,optimization,0.6397887323943662,0.7083820662768031,0.6723404255319149
chinese-bert,identity,biom,bd,mbawo,test,0.5042291950886767,0.7080459770114943,0.5890039840637451
chinese-bert,identity,biom,bd,mwo,training,0.729574667622883,0.745658547586829,0.7375289295374062
chinese-bert,identity,biom,bd,mwo,validation,0.6929761042722665,0.7310924369747899,0.7115241635687733
chinese-bert,identity,biom,bd,mwo,optimization,0.6616197183098591,0.7325536062378167,0.6952821461609621
chinese-bert,identity,biom,bd,mwo,test,0.5276944065484311,0.7409961685823755,0.6164143426294821
chinese-bert,identity,biom,td,epm,training,0.3583106267029973,0.48613678373382624,0.4125490196078431
chinese-bert,identity,biom,td,epm,validation,0.2636363636363636,0.3333333333333333,0.2944162436548223
chinese-bert,identity,biom,td,epm,optimization,0.1864406779661017,0.2857142857142857,0.22564102564102564
chinese-bert,identity,biom,td,epm,test,0.1984126984126984,0.30864197530864196,0.24154589371980673
chinese-bert,identity,biom,td,mpbm,training,0.5294725956566702,0.6928281461434371,0.6002344665885111
chinese-bert,identity,biom,td,mpbm,validation,0.4305555555555556,0.5254237288135594,0.4732824427480916
chinese-bert,identity,biom,td,mpbm,optimization,0.40878378378378377,0.5525114155251142,0.46990291262135925
chinese-bert,identity,biom,td,mpbm,test,0.3487654320987654,0.5136363636363637,0.41544117647058826
chinese-bert,identity,biom,td,mbawo,training,0.6126288094716071,0.7877198917456022,0.6892281887471943
chinese-bert,identity,biom,td,mbawo,validation,0.5743344301525576,0.7333842627960275,0.6441872169099144
chinese-bert,identity,biom,td,mbawo,optimization,0.5450086555106751,0.7364522417153996,0.6264301110926876
chinese-bert,identity,biom,td,mbawo,test,0.4477068672652269,0.7068965517241379,0.5482097756648344
chinese-bert,identity,biom,td,mwo,training,0.6382372286779215,0.8206472710870546,0.7180385288966725
chinese-bert,identity,biom,td,mwo,validation,0.5958719712832785,0.7608861726508785,0.6683442375440363
chinese-bert,identity,biom,td,mwo,optimization,0.586266589728794,0.7922027290448344,0.6738517658763058
chinese-bert,identity,biom,td,mwo,test,0.4773113322009221,0.753639846743295,0.5844599613727529
chinese-bert,identity,bioje,bd,epm,training,0.2510460251046025,0.33271719038817005,0.2861685214626391
chinese-bert,identity,bioje,bd,epm,validation,0.12121212121212122,0.13793103448275862,0.12903225806451615
chinese-bert,identity,bioje,bd,epm,optimization,0.18691588785046728,0.2597402597402597,0.21739130434782605
chinese-bert,identity,bioje,bd,epm,test,0.16071428571428573,0.2222222222222222,0.18652849740932642
chinese-bert,identity,bioje,bd,mpbm,training,0.48747815958066393,0.5663058186738836,0.523943661971831
chinese-bert,identity,bioje,bd,mpbm,validation,0.3745173745173745,0.4110169491525424,0.39191919191919194
chinese-bert,identity,bioje,bd,mpbm,optimization,0.35793357933579334,0.4429223744292237,0.39591836734693875
chinese-bert,identity,bioje,bd,mpbm,test,0.29411764705882354,0.38636363636363635,0.3339882121807466
chinese-bert,identity,bioje,bd,mbawo,training,0.6501439964554718,0.661874154262517,0.6559566383549396
