embedding,encoder,tagset,link,metric,set,precision,recall,f1
latin-bert,identity,biomj,bd,mpbm,optimization,0.41935483870967744,0.33726415094339623,0.37385620915032675
latin-bert,identity,biomj,bd,mpbm,test,0.49691358024691357,0.3319587628865979,0.39802224969097655
latin-bert,identity,biomj,bd,mbawo,training,0.6946808510638298,0.5664714812405118,0.6240592521801457
latin-bert,identity,biomj,bd,mbawo,validation,0.540377358490566,0.37002583979328163,0.43926380368098156
latin-bert,identity,biomj,bd,mbawo,optimization,0.5328368314150305,0.4224369296833065,0.47125748502994014
latin-bert,identity,biomj,bd,mbawo,test,0.6406890894175554,0.37729468599033816,0.47491638795986624
latin-bert,identity,biomj,bd,mwo,training,0.7171099290780142,0.5847610785802068,0.6442081790307809
latin-bert,identity,biomj,bd,mwo,validation,0.5818867924528301,0.3984496124031008,0.4730061349693252
latin-bert,identity,biomj,bd,mwo,optimization,0.5693974272173324,0.4514224369296833,0.5035928143712575
latin-bert,identity,biomj,bd,mwo,test,0.6628383921246924,0.3903381642512077,0.49133475220431744
latin-bert,identity,biomj,td,epm,training,0.5255230125523013,0.43370165745856354,0.4752175558077941
latin-bert,identity,biomj,td,epm,validation,0.4074074074074074,0.2644230769230769,0.3206997084548105
latin-bert,identity,biomj,td,epm,optimization,0.368,0.24083769633507854,0.2911392405063291
latin-bert,identity,biomj,td,epm,test,0.5147058823529411,0.32558139534883723,0.39886039886039887
latin-bert,identity,biomj,td,mpbm,training,0.624124513618677,0.49142156862745096,0.5498800137127184
latin-bert,identity,biomj,td,mpbm,validation,0.5206896551724138,0.3158995815899582,0.39322916666666674
latin-bert,identity,biomj,td,mpbm,optimization,0.46037735849056605,0.28773584905660377,0.3541364296081277
latin-bert,identity,biomj,td,mpbm,test,0.6089965397923875,0.3628865979381443,0.45478036175710596
latin-bert,identity,biomj,td,mbawo,training,0.6774371213512025,0.5335068314899154,0.5969183483641364
latin-bert,identity,biomj,td,mbawo,validation,0.5892040256175664,0.33281653746770024,0.42536327608982827
latin-bert,identity,biomj,td,mbawo,optimization,0.5385232744783307,0.3601717659688674,0.4316500482470248
latin-bert,identity,biomj,td,mbawo,test,0.6904362416107382,0.39758454106280194,0.5045984058859596
latin-bert,identity,biomj,td,mwo,training,0.719295024784285,0.5664714812405118,0.633801108100457
latin-bert,identity,biomj,td,mwo,validation,0.6248856358645929,0.35297157622739017,0.4511228533685601
latin-bert,identity,biomj,td,mwo,optimization,0.5874799357945425,0.392914653784219,0.470890961724027
latin-bert,identity,biomj,td,mwo,test,0.7164429530201343,0.41256038647342996,0.5236051502145923
latin-bert,identity,biomje,bd,epm,training,0.38988476312419973,0.4205801104972376,0.4046511627906977
latin-bert,identity,biomje,bd,epm,validation,0.2781065088757396,0.22596153846153846,0.24933687002652521
latin-bert,identity,biomje,bd,epm,optimization,0.34210526315789475,0.27225130890052357,0.30320699708454807
latin-bert,identity,biomje,bd,epm,test,0.3111111111111111,0.26046511627906976,0.28354430379746837
latin-bert,identity,biomje,bd,mpbm,training,0.4934445768772348,0.5073529411764706,0.5003021148036253
latin-bert,identity,biomje,bd,mpbm,validation,0.3763440860215054,0.2928870292887029,0.32941176470588235
latin-bert,identity,biomje,bd,mpbm,optimization,0.4115853658536585,0.31839622641509435,0.35904255319148937
latin-bert,identity,biomje,bd,mpbm,test,0.4005102040816326,0.3237113402061856,0.3580387685290764
latin-bert,identity,biomje,bd,mbawo,training,0.5747969232981094,0.5780380250126509,0.5764129181084198
latin-bert,identity,biomje,bd,mbawo,validation,0.5171641791044777,0.3581395348837209,0.423206106870229
latin-bert,identity,biomje,bd,mbawo,optimization,0.5308734939759037,0.3784219001610306,0.44186775305546855
latin-bert,identity,biomje,bd,mbawo,test,0.5540364583333334,0.4111111111111111,0.4719911259012757
latin-bert,identity,biomje,bd,mwo,training,0.6250449284738696,0.6285693631171836,0.6268021914648212
latin-bert,identity,biomje,bd,mwo,validation,0.5485074626865671,0.3798449612403101,0.44885496183206103
latin-bert,identity,biomje,bd,mwo,optimization,0.5843373493975904,0.416532474503489,0.4863679097461612
latin-bert,identity,biomje,bd,mwo,test,0.6022135416666666,0.4468599033816425,0.5130338325013865
latin-bert,identity,biomje,td,epm,training,0.545123062898815,0.4129834254143646,0.4699410609037328
latin-bert,identity,biomje,td,epm,validation,0.3984375,0.24519230769230768,0.30357142857142855
latin-bert,identity,biomje,td,epm,optimization,0.3893805309734513,0.23036649214659685,0.2894736842105263
latin-bert,identity,biomje,td,epm,test,0.46774193548387094,0.26976744186046514,0.3421828908554573
latin-bert,identity,biomje,td,mpbm,training,0.6373015873015873,0.49203431372549017,0.5553250345781466
latin-bert,identity,biomje,td,mpbm,validation,0.5,0.29916317991631797,0.37434554973821993
latin-bert,identity,biomje,td,mpbm,optimization,0.5101214574898786,0.2971698113207547,0.37555886736214605
latin-bert,identity,biomje,td,mpbm,test,0.5693950177935944,0.32989690721649484,0.4177545691906005
latin-bert,identity,biomje,td,mbawo,training,0.6680862631388184,0.5330007951998843,0.5929470425027142
latin-bert,identity,biomje,td,mbawo,validation,0.6177024482109228,0.33901808785529713,0.4377711044377711
latin-bert,identity,biomje,td,mbawo,optimization,0.5611390284757118,0.3596349973161567,0.43833824010467776
latin-bert,identity,biomje,td,mbawo,test,0.5760517799352751,0.34396135265700484,0.4307320024198427
latin-bert,identity,biomje,td,mwo,training,0.7137549836897427,0.5694354080821225,0.6334794322248583
latin-bert,identity,biomje,td,mwo,validation,0.6629001883239172,0.36382428940568473,0.46980313646980315
latin-bert,identity,biomje,td,mwo,optimization,0.6206030150753769,0.3977455716586151,0.48478900883218834
latin-bert,identity,biomje,td,mwo,test,0.6205501618122977,0.3705314009661836,0.4640048396854205
latin-bert,lstm,bio,bd,mpbm,training,0.8623376623376623,0.9154411764705882,0.8880962995987517
latin-bert,lstm,bio,bd,mpbm,validation,0.4146919431279621,0.36610878661087864,0.3888888888888889
latin-bert,lstm,bio,bd,mpbm,optimization,0.4252577319587629,0.3891509433962264,0.4064039408866995
latin-bert,lstm,bio,bd,mpbm,test,0.4274028629856851,0.4309278350515464,0.42915811088295686
latin-bert,lstm,bio,bd,mbawo,training,0.8822810590631365,0.9394925178919974,0.9099884465917447
latin-bert,lstm,bio,bd,mbawo,validation,0.5124671916010499,0.4036175710594315,0.4515755998843597
latin-bert,lstm,bio,bd,mbawo,optimization,0.4750849377123443,0.45034889962426194,0.462386332322954
latin-bert,lstm,bio,bd,mbawo,test,0.49627659574468086,0.45072463768115945,0.47240506329113924
latin-bert,lstm,bio,bd,mwo,training,0.8943652410047522,0.9523602978385022,0.922452123376396
latin-bert,lstm,bio,bd,mwo,validation,0.5616797900262467,0.44237726098191216,0.4949407343162764
latin-bert,lstm,bio,bd,mwo,optimization,0.5203850509626274,0.4932903918411165,0.5064756131165611
latin-bert,lstm,bio,bd,mwo,test,0.5361702127659574,0.48695652173913045,0.5103797468354431
latin-bert,lstm,bio,td,mpbm,training,0.9609188544152745,0.9868259803921569,0.9737001209189843
latin-bert,lstm,bio,td,mpbm,validation,0.35687732342007433,0.401673640167364,0.3779527559055118
latin-bert,lstm,bio,td,mpbm,optimization,0.35807860262008734,0.3867924528301887,0.3718820861678005
latin-bert,lstm,bio,td,mpbm,test,0.3900709219858156,0.4536082474226804,0.4194470924690181
latin-bert,lstm,bio,td,mbawo,training,0.9558227317209562,0.9885057471264368,0.9718895483137284
latin-bert,lstm,bio,td,mbawo,validation,0.42191780821917807,0.47751937984496123,0.44799999999999995
latin-bert,lstm,bio,td,mbawo,optimization,0.43067033976124885,0.5034889962426194,0.4642415243751547
latin-bert,lstm,bio,td,mbawo,test,0.4420075917334458,0.506280193236715,0.47196577347444274
latin-bert,lstm,bio,td,mwo,training,0.9580595554312876,0.9908190558808646,0.9741639717118591
latin-bert,lstm,bio,td,mwo,validation,0.4785388127853881,0.5416020671834625,0.508121212121212
latin-bert,lstm,bio,td,mwo,optimization,0.4825528007346189,0.5641438539989264,0.520168275179411
latin-bert,lstm,bio,td,mwo,test,0.4964150147617039,0.5685990338164251,0.5300607971177663
latin-bert,lstm,bioe,bd,mpbm,training,0.9603390856796852,0.9718137254901961,0.9660423328765038
latin-bert,lstm,bioe,bd,mpbm,validation,0.4473684210526316,0.35564853556485354,0.3962703962703963
latin-bert,lstm,bioe,bd,mpbm,optimization,0.42011834319526625,0.33490566037735847,0.3727034120734908
latin-bert,lstm,bioe,bd,mpbm,test,0.46534653465346537,0.38762886597938145,0.4229471316085489
latin-bert,lstm,bioe,bd,mbawo,training,0.964404973357016,0.9812766572688498,0.97276766518561
latin-bert,lstm,bioe,bd,mbawo,validation,0.5174966352624495,0.3974160206718346,0.44957614732534346
latin-bert,lstm,bioe,bd,mbawo,optimization,0.47946084724005134,0.40096618357487923,0.43671441099093833
latin-bert,lstm,bioe,bd,mbawo,test,0.48867497168742924,0.41690821256038646,0.4499478623566215
latin-bert,lstm,bioe,bd,mwo,training,0.9685968028419183,0.9855418202848262,0.976995843485739
latin-bert,lstm,bioe,bd,mwo,validation,0.5632570659488559,0.4325581395348837,0.48933060508623205
latin-bert,lstm,bioe,bd,mwo,optimization,0.5397946084724005,0.4514224369296833,0.4916691026015785
latin-bert,lstm,bioe,bd,mwo,test,0.5339750849377124,0.45555555555555555,0.4916579770594369
latin-bert,lstm,bioe,td,mpbm,training,0.8731961928154743,0.8713235294117647,0.8722588560036804
latin-bert,lstm,bioe,td,mpbm,validation,0.431266846361186,0.33472803347280333,0.37691401648998824
latin-bert,lstm,bioe,td,mpbm,optimization,0.45317220543806647,0.35377358490566035,0.3973509933774834
latin-bert,lstm,bioe,td,mpbm,test,0.5094850948509485,0.38762886597938145,0.44028103044496486
latin-bert,lstm,bioe,td,mbawo,training,0.8943521594684385,0.8757319453480806,0.8849441157133464
latin-bert,lstm,bioe,td,mbawo,validation,0.5133689839572193,0.34728682170542635,0.4143033292231813
latin-bert,lstm,bioe,td,mbawo,optimization,0.5133802816901408,0.391304347826087,0.4441060006091989
latin-bert,lstm,bio,bd,epm,training,0.8042049934296978,0.8453038674033149,0.8242424242424243
latin-bert,lstm,bio,bd,epm,validation,0.2789473684210526,0.2548076923076923,0.2663316582914573
latin-bert,lstm,bio,bd,epm,optimization,0.35294117647058826,0.31413612565445026,0.332409972299169
latin-bert,lstm,bio,bd,epm,test,0.3434343434343434,0.31627906976744186,0.32929782082324455
latin-bert,lstm,bio,td,epm,training,0.9403578528827038,0.9799723756906077,0.9597565099763273
latin-bert,lstm,bio,td,epm,validation,0.2581967213114754,0.30288461538461536,0.2787610619469027
latin-bert,lstm,bio,td,epm,optimization,0.2744186046511628,0.3089005235602094,0.29064039408866993
